time	V(p001)
4.296278475682419e-003	3.718259e+000
4.300758813445829e-003	3.701681e+000
4.305191981155979e-003	3.680913e+000
4.307824057578612e-003	3.663845e+000
4.310435287864392e-003	3.639746e+000
4.312654506602240e-003	3.611860e+000
4.314825925147052e-003	3.577393e+000
4.318391657606203e-003	3.511866e+000
4.322017201074216e-003	3.436813e+000
4.329207245609848e-003	3.272785e+000
4.336758804339280e-003	3.088000e+000
4.346524429339280e-003	2.835600e+000
4.356290054339279e-003	2.573025e+000
4.366055679339279e-003	2.301669e+000
4.375821304339279e-003	2.022926e+000
4.385586929339279e-003	1.737956e+000
4.395352554339278e-003	1.447830e+000
4.405118179339278e-003	1.153588e+000
4.414883804339278e-003	8.562545e-001
4.424649429339278e-003	5.568532e-001
4.434415054339278e-003	2.564698e-001
4.444180679339277e-003	-4.370224e-002
4.453946304339277e-003	-3.424521e-001
4.463711929339277e-003	-6.386511e-001
4.473477554339277e-003	-9.312140e-001
4.483243179339277e-003	-1.219224e+000
4.491171559378549e-003	-1.448541e+000
4.499317860751699e-003	-1.679332e+000
4.506246996103783e-003	-1.871671e+000
4.513840288515887e-003	-2.077505e+000
4.523605913515887e-003	-2.334728e+000
4.533371538515887e-003	-2.582903e+000
4.543137163515887e-003	-2.820610e+000
4.552902788515886e-003	-3.046945e+000
4.562668413515886e-003	-3.260997e+000
4.572434038515886e-003	-3.463891e+000
4.576524850177834e-003	-3.545051e+000
4.578584685456120e-003	-3.584661e+000
4.578596191238561e-003	-3.584874e+000
4.578757272192745e-003	-3.587918e+000
4.578941364711812e-003	-3.591388e+000
4.579309549749947e-003	-3.598296e+000
4.579947290850224e-003	-3.610210e+000
4.580346536438986e-003	-3.617650e+000
4.581734241099574e-003	-3.643315e+000
4.582977190704771e-003	-3.664452e+000
4.583819062369348e-003	-3.675265e+000
4.584674053635216e-003	-3.683062e+000
4.585972907307399e-003	-3.693115e+000
4.587272398197056e-003	-3.702244e+000
4.589871379976370e-003	-3.719620e+000
4.592344810958722e-003	-3.737003e+000
4.595629087237225e-003	-3.764835e+000
4.599478889444096e-003	-3.806270e+000
4.605821397910570e-003	-3.885607e+000
4.612458490860470e-003	-3.971837e+000
4.621910472479235e-003	-4.087471e+000
4.629354600293965e-003	-4.158997e+000
4.635283188694933e-003	-4.191411e+000
4.641855247365665e-003	-4.206464e+000
4.647127386787573e-003	-4.211921e+000
4.653005357431195e-003	-4.215260e+000
4.662770982431195e-003	-4.218522e+000
4.672536607431195e-003	-4.220191e+000
4.682302232431194e-003	-4.220670e+000
4.692067857431194e-003	-4.220272e+000
4.701833482431194e-003	-4.218997e+000
4.711599107431194e-003	-4.216550e+000
